Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,1,1.0154913991474643,0,0,60,2263.426738693886,120.26457361725609,362.03492553164284,0.9996176629715744,2,1
1,1,2.7935501414044404,1,2,299,207.07874321120855,97.33354696242179,185.85512662855996,0.9944495929541902,1,1
0,0,1.0205754347428788,0,1,497,-222.10515293714656,98.95750434492587,361.4114891884291,0.9991317354321452,0,1
1,1,0.9676278163998252,0,0,35,1874.2007970188633,141.12198123148437,360.4270128859945,0.9992733383744312,2,1
1,1,1.929354122729437,0,0,340,47.08090633066431,322.93677762468104,360.013914915001,0.9798815194995169,0,1
1,1,1.0199269069154526,0,1,217,4004.6637967183206,113.08243076292008,141.02255746857077,0.995513612371467,1,1
1,1,1.017309120768405,0,1,493,123.33178965146452,71.7310129451009,454.3823617488947,-0.022273123728104804,0,0
2,0,0.07943404299748508,1,0,118,2178.913621603893,86.84224330439245,359.6002769562369,0.9857194976051974,0,0
1,1,1.0064381756036058,0,0,429,72.06034506779271,247.38132489697674,360.780279553052,1.000212151453631,1,1
1,1,-0.004120586398546745,1,0,371,1848.170480451765,57.523511771309984,358.8623344635154,0.9949858954972571,0,1
0,2,-0.032390572190513764,1,0,389,2040.2820872889886,96.04692796203358,360.2621420389661,1.0170354344066408,0,1
1,1,-0.015159964546244183,0,0,144,2169.7839980775225,107.45529014269434,360.0064696835078,-0.05943722169627992,1,1
1,1,0.9817327449573361,0,0,499,11.353015351989116,151.9935704951181,300.87188495564686,-0.09633977371316862,0,0
1,1,-0.01587632153376318,1,0,274,2254.4250068623373,82.46201413255463,361.506600907228,0.9824939511287818,1,1
1,0,-0.017813321923872343,1,0,107,2373.0021152739682,99.53965726268021,359.38135288250663,0.9941122098403155,0,1
1,0,2.9009436976737613,0,0,418,246.514373916503,277.21208852830347,196.12477825561308,-0.0725495308512929,0,0
1,1,1.9869956417235124,0,0,465,1989.7999804416754,125.75829929263502,359.5621108841831,0.9926871390704104,1,1
2,0,0.02439857961169185,0,0,27,2333.9167234762667,80.32885885770128,362.64119602084406,0.9944170157140495,0,1
1,1,-0.005067543704682577,0,0,427,17.393160916115757,154.05350859796664,361.3026898894448,0.9919690279349933,1,1
1,1,0.034820713893663605,0,0,270,2437.9500498022526,98.71319016150338,359.1681152840388,1.0035018931367652,0,1
2,1,1.9338992796221535,1,0,200,2468.4306348933246,99.38791053441444,186.9110974038397,0.9941116097906812,0,1
1,0,-0.03791581453365353,1,0,82,2135.0002607178058,85.01376223517252,361.65373127452926,0.994866539674108,1,1
1,1,-0.008516802973279175,0,1,479,7785.152477252251,144.18465788738888,360.20304959835465,0.9938925207592392,2,1
1,0,0.04023711923919107,1,0,48,2164.1417467928586,77.37477478395206,361.8172242770397,1.0029358112709428,1,1
2,1,0.009369348098573522,0,0,122,2902.4938565343646,157.52420403955932,362.44866228874747,0.9933859786943938,2,1
1,0,3.1155153772572173,0,0,467,253.48075829731624,148.11388252628137,360.6178018454669,-0.054681029536295334,0,0
1,1,0.03549617513888807,1,0,294,1472.1741496851582,78.72278791932297,194.00729505442894,0.9872765292078401,0,1
1,0,0.9462401662338059,0,1,517,58.62714727655135,98.56886149911911,357.87750540895416,0.984658210149437,2,0
1,0,0.022074327440534308,0,0,-14,2100.174718520307,53.66302359189116,358.78018869384596,0.9868595472783984,2,1
0,0,0.017275456064228343,1,0,426,-190.20187351798572,101.31484036449116,359.6733949245823,-0.0790062141106761,2,0
1,1,3.010349174592752,0,0,86,1850.6950740293169,103.9466482644622,359.7705053914674,-0.02495067763298567,2,1
1,1,0.0058829909849733445,1,0,271,2898.3116828959564,162.20375502543538,360.6342272538209,1.0042920251055507,1,1
1,1,0.9340373466881924,0,0,312,2426.7432808035915,147.90014032229624,361.4219643269169,0.994718036811909,0,1
0,0,0.014924766122286253,1,0,182,2145.0040220579854,72.44248625395267,479.472661309306,-0.10034997146974167,0,0
0,0,0.009919130117300803,1,0,102,2022.8992632019622,66.41454113055954,361.92679861627477,0.9946410013488702,0,1
1,1,0.9895426319866646,0,0,295,147.62081774042383,118.46126356276982,359.73349919198944,0.9878296450424757,0,1
1,1,2.9653180659714033,0,0,344,3742.147522189616,118.41645449711251,360.51701271189404,0.9967929229027283,1,1
1,1,2.8030730095563356,1,0,141,2040.3513715584954,147.1215991597554,207.71934048488808,0.9813724434851865,1,1
1,1,-0.02571982226679777,0,0,265,253.47520532990148,169.48066649736467,362.10910500773974,0.9838307397202314,1,1
0,1,-0.031057893768045606,0,0,126,2716.032758253393,73.93594122062882,360.68048143749763,0.992893348358795,2,1
1,1,0.9784774999365916,0,1,406,449.4453518822707,200.32101314984035,360.63587366162074,0.9989082277914081,0,0
1,0,0.9880687712824167,0,1,510,86.30577328618946,89.46165932580752,361.9087638224039,0.026350469129789833,0,0
1,0,0.9787652927335575,1,0,255,2740.296770016449,62.68711909827732,362.52434745328776,0.9856529525966727,2,1
2,1,1.011183900052027,0,1,518,-33.25459228083008,77.48560968538068,361.00937543398953,0.9788752650256627,1,0
1,1,1.9918459601664074,0,0,393,2136.392091054242,172.56646255399613,359.80530087511636,0.9932287513088769,0,1
1,1,-0.014238133644751655,0,0,300,4361.053213081457,171.42508111267813,361.8346164265053,0.9992661624192887,1,1
0,0,1.0226396187458238,0,0,331,211.02814810306313,109.70932638158872,360.3583805530553,0.9967971418467473,1,1
1,1,1.8919440730413977,0,0,517,7904.110941893749,338.4156024201476,361.9246990106462,0.9954940567042974,0,1
0,0,0.007552515951942776,0,0,100,129.59263590561332,119.28661204394076,360.4230545796861,0.9953592701832822,1,1
1,1,0.042324904609005426,1,0,273,2513.4791209842606,76.91948640008809,359.5717123141345,0.9873470752084713,0,1
1,0,2.0105754795482174,0,0,116,1970.0656630338606,119.17289208409225,358.38220288060137,0.9849938065039465,0,1
1,0,0.003524758597990536,0,0,9,2174.056464020593,117.96488977804881,360.14582631700125,0.9956273956675585,0,1
1,1,-0.00725806947338958,0,0,312,1907.248752224907,85.47701264581337,360.51385120834937,0.999572998001203,1,1
1,1,0.03700165297108608,0,0,45,2520.1467717764444,156.14826298783754,360.86103312881755,0.9968771537543353,1,1
1,1,3.184565419682965,0,0,469,218.9163001735278,299.6927350457625,360.7893986528865,-0.029660072007722943,0,0
1,1,3.1580166788348647,0,0,430,12.23632703033584,96.98565527989658,315.5118701701765,0.996821980430242,1,1
1,1,0.015466514240982871,0,0,347,1723.18929143673,96.14342249352794,359.739620353939,0.9917765290368872,2,1
0,0,2.0855126546930953,0,0,500,208.8053052074134,112.99365037728826,360.5065347121993,0.9934669020823351,0,0
1,1,0.035018765091751045,0,0,110,2367.172366315395,161.16184770524004,189.5145463697895,0.994044526721121,2,1
1,0,0.017922583540227827,1,0,187,73.162011470843,99.18473081161329,361.97516445733027,0.9982947439881187,2,1
1,0,-0.02395951162346739,0,0,110,1840.8430544567766,132.91183607262096,361.0475265930863,0.9975833720051842,0,1
0,0,-0.012101165406679323,1,0,111,99.12454955117688,48.66194351777045,359.01248739242135,-0.0713417524199263,1,0
1,0,0.03126097092134034,0,0,290,1998.9177269390298,80.73959294240325,359.1870798834416,0.9944718825665114,2,1
1,1,-0.0047879680155623935,0,1,439,5916.228013986546,180.64783635972168,360.089818214052,1.0015123519566465,2,1
2,1,2.0245618017639484,0,1,459,-102.30615606583734,205.3352360862228,358.64963425172107,0.9943587285786726,0,1
1,1,2.7883729467511045,0,0,485,4456.302849303491,127.04045356757275,361.7345820446254,0.984169195484816,1,1
1,1,0.9358686819905505,0,0,350,102.98993157173432,256.5225443237491,361.1337405654192,0.9915514915795258,0,1
0,0,3.0836760146289963,0,0,388,108.0493385430611,87.6636069144535,476.4827945896543,1.0021245806147918,2,1
1,1,3.0048512025818854,0,1,62,177.48040594135875,120.63572692331817,361.9299534003184,-0.07266419467829469,1,0
1,1,-0.03095287433575788,1,0,41,2252.2856438087815,89.86681379474282,359.71190457989525,0.9947514243670103,1,1
0,0,-0.03901127286909107,0,0,129,1626.8745745464548,44.355485440712556,361.27891880930093,0.992621817964776,0,1
0,0,-0.017337123427605967,1,0,135,77.04039814266662,91.55462575982394,362.7302437151277,0.9986873870861476,0,0
1,1,2.947206290948891,0,0,320,2.874189523112701,117.49584489233179,200.99151310043217,0.9968737027250754,1,1
1,1,-0.014792158550030413,0,0,67,2177.543394594284,104.12099576461381,359.0363951168694,0.9955770252200828,0,1
2,1,1.944582743783364,0,0,283,1553.844787444435,144.74667966162633,358.75331199039476,0.9995409193508578,2,1
1,0,-0.0023510298126142143,0,2,270,41.27240281002611,95.05774310693704,360.8687413068485,1.0007683453321288,0,1
0,0,0.010143834942841708,0,0,254,80.89549596796711,102.49819171691959,156.54332836085217,0.9907637310465673,2,1
0,0,0.04761758425547447,0,0,324,-103.65992220927801,118.94635288445384,361.8238619301823,0.9947649914396488,0,1
1,1,-0.06409773566972889,0,0,488,-212.8193214585061,155.42866005766433,359.37955652145547,0.9887346399007857,2,0
1,1,2.9870207836699882,0,1,439,165.77494984063287,180.39626341489938,360.0590526752624,0.9940020392397488,1,1
0,0,0.01181205493578082,0,1,326,-35.5521667878369,64.0469203482421,359.09567403447153,0.9962483064488206,1,1
1,1,0.010330285934703346,1,0,193,3435.850650772503,102.21399165822217,360.036390941382,0.012119362830303255,0,1
1,1,2.965543596398654,0,0,502,306.6250718729123,459.05336357612987,361.0083974214569,0.9900022065680698,1,0
1,1,2.829655526435308,1,0,176,2674.1556405408023,82.0160419397219,360.4142830731356,0.9961094361189312,0,1
1,1,-0.002947813514671631,0,0,473,76.2879710579663,116.05157073322442,481.7878184499998,0.9944546983351689,2,1
1,1,-0.028267875025650792,0,0,281,-24.1248695324321,111.82092290247398,187.38007840219615,0.99369935585563,0,1
1,1,0.020757245768722402,0,0,485,34.50774148735871,112.34287856006603,360.22845108955084,1.006409951863996,0,1
1,1,0.9575578946218667,0,1,480,60.424593648841594,256.34240967640153,362.2643006837122,0.037137043444013335,1,0
1,1,0.9894875953686357,0,0,314,1442.5683745113972,112.14518614015591,361.957627860269,0.9885557398134805,2,1
1,0,0.008161828683113437,1,0,312,2456.1845250402307,60.0235285042178,361.54903277862627,0.9954791437352065,2,1
0,0,-0.005292183134011714,0,0,170,-40.34403527528832,76.10207154267258,362.3681999491608,1.0061763986609167,0,1
1,1,1.0545324721721128,0,1,446,419.7257457724662,271.1488435463168,316.5353854141117,-0.056060476956451,2,0
1,0,0.004321792875994329,0,0,317,2723.8889184713867,118.09609079344439,359.9483492038139,1.0033909042866973,1,1
